step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
153,9249,153,0.022408075433583384,1.0,1.0,0.027898973280098292,1.0,1.0,,
154,9282,154,0.17429428754174298,0.0,0.6666666666666666,,,,,
155,9379,155,0.02306447561585931,1.0,1.0,,,,,
156,9428,156,0.09298880665709777,0.0,0.0,,,,,
157,9461,157,0.035257501874548326,1.0,1.0,,,,,
158,9534,158,0.03815008692324126,1.0,1.0,,,,,
159,9583,159,0.05620054577799844,0.0,0.6666666666666666,,,,,
160,9608,160,0.037293778680032114,1.0,1.0,,,,,
161,9649,161,0.09733529087618537,0.0,0.6666666666666666,0.02867869118546465,1.0,1.0,,
162,9682,162,0.052895038031219886,1.0,1.0,,,,,
163,9723,163,0.046573119360211426,1.0,1.0,,,,,
164,9732,164,0.2513546568201855,0.0,0.0,,,,,
165,9789,165,0.06954302985137993,0.0,0.6666666666666666,,,,,
166,9886,166,0.04606678384108818,0.0,0.6666666666666666,,,,,
167,9959,167,0.034087469960860386,0.0,0.6666666666666666,,,,,
168,10040,168,0.04246404505659666,0.0,0.5,,,,,
169,10081,169,0.03230699175046812,1.0,1.0,0.02686577284456039,1.0,1.0,,
170,10186,170,0.05811829457127365,0.0,0.6666666666666666,,,,,
171,10283,171,0.024689121086680643,1.0,1.0,,,,,
172,10308,172,0.04590383987185002,1.0,1.0,,,,,
173,10341,173,0.15367161636648233,0.0,0.6666666666666666,,,,,
174,10406,174,0.045379250585929176,0.0,0.6666666666666666,,,,,
175,10439,175,0.05350565805398219,1.0,1.0,,,,,
176,10456,176,0.11031863647687715,0.0,0.6666666666666666,,,,,
177,10521,177,0.03850302903322814,0.0,0.5,0.05686314165439196,0.0,0.6666666666666666,,
178,10562,178,0.0730563294289168,0.0,0.5,,,,,
179,10627,179,0.09873328894449515,0.0,0.6666666666666666,,,,,
180,10700,180,0.07892598983556832,0.0,0.6666666666666666,,,,,
181,10757,181,0.07015169423962236,0.0,0.0,,,,,
182,10814,182,0.06318815183282173,1.0,1.0,,,,,
183,10863,183,0.09320638281293214,0.0,0.6666666666666666,,,,,
184,10952,184,0.055227593267310034,0.0,0.5,,,,,
185,11017,185,0.019943236448734754,1.0,1.0,0.05576008766548007,0.0,0.6666666666666666,,
186,11074,186,0.06062213760010697,0.0,0.6666666666666666,,,,,
187,11123,187,0.05910847911522674,0.0,0.5,,,,,
188,11220,188,0.02933770764834965,1.0,1.0,,,,,
189,11237,189,0.06204789728581091,1.0,1.0,,,,,
190,11294,190,0.06227122899350694,0.0,0.6666666666666666,,,,,
191,11367,191,0.06320903208407495,0.0,0.6666666666666666,,,,,
192,11456,192,0.04357969359734191,0.0,0.6666666666666666,,,,,
193,11505,193,0.027789066494418264,1.0,1.0,0.03233365927773412,1.0,1.0,,
194,11594,194,0.02437391222899764,1.0,1.0,,,,,
195,11643,195,0.02465718811767147,1.0,1.0,,,,,
196,11684,196,0.030601725055325005,1.0,1.0,,,,,
